None,5,6,7,8,9,10,11,12,13,14
11 (16.97),14 (15.78),15 (18.31),12 (18.07),15 (18.28),15 (17.41),15 (17.99),13 (18.52),15 (18.74),15 (18.29),15 (18.94)
8 (17.12),14 (19.09),10 (18.85),13 (18.50),12 (18.54),15 (19.31),11 (18.61),14 (19.88),15 (19.84),15 (20.68),15 (20.61)
8 (15.55),8 (20.59),8 (19.50),5 (19.06),8 (19.38),5 (28.34),9 (16.32),8 (20.93),4 (22.50),11 (23.06),3 (18.80)
9 (15.97),6 (15.95),8 (19.19),8 (18.63),9 (18.14),10 (19.23),4 (18.23),6 (18.68),9 (18.42),8 (21.79),8 (19.15)
2 (10.26),1 (11.96),2 (12.04),3 (13.92),1 (16.00),4 (14.06),2 (16.18),1 (15.87),2 (16.62),0 (15.85),0 (10.57)
2 (10.71),1 (14.63),5 (15.38),1 (13.81),1 (12.05),5 (13.22),2 (17.82),1 (14.87),1 (6.50),0 (4.37),0 (3.18)
4 (11.83),4 (14.31),3 (17.33),0 (12.75),3 (15.45),0 (17.46),0 (15.52),0 (12.77),1 (20.19),0 (22.25),0 (15.60)
0 (9.36),0 (9.55),0 (14.07),0 (11.05),0 (10.64),0 (13.31),0 (16.93),0 (16.68),0 (18.39),0 (15.24),0 (7.46)
0.2077 (48.06),0.2249 (33.29),0.2383 (40.65),0.2476 (40.40),0.2857 (34.20),0.2823 (32.88),0.2273 (30.60),0.2807 (44.66),0.2649 (34.73),0.2556 (34.62),0.2664 (34.25)
0.2513 (66.88),0.2414 (46.08),0.2745 (61.76),0.3016 (48.33),0.2316 (56.91),0.2843 (42.36),0.2540 (50.12),0.2901 (47.97),0.2552 (43.70),0.2874 (44.19),0.2748 (42.04)
0.2372 (70.41),0.2887 (74.84),0.2737 (81.04),0.2230 (79.37),0.3037 (84.08),0.3689 (94.17),0.2312 (67.32),0.2964 (73.83),0.2988 (84.82),0.2861 (68.11),0.2295 (89.93)
0.2286 (80.27),0.2637 (91.46),0.1980 (88.93),0.2294 (74.36),0.2603 (77.66),0.2725 (68.84),0.2303 (93.76),0.1746 (91.25),0.2428 (80.73),0.2411 (81.43),0.2186 (86.69)
0.2305 (69.38),0.1756 (84.62),0.1936 (77.47),0.2764 (73.48),0.2467 (86.64),0.2461 (74.64),0.3211 (87.99),0.2667 (98.48),0.2457 (92.34),0.3064 (72.46),0.3568 (29.44)
0.1995 (67.90),0.2775 (59.68),0.3213 (59.02),0.2111 (72.37),0.2189 (64.55),0.2405 (70.97),0.3260 (81.53),0.2048 (75.15),0.1883 (27.63),0.1838 (12.26),0.1532 (5.79)
0.1654 (69.86),0.2243 (68.61),0.2324 (76.56),0.1967 (77.36),0.2307 (75.12),0.2566 (93.40),0.2253 (78.41),0.1479 (82.17),0.2801 (84.72),0.2944 (97.49),0.2372 (87.57)
0.1762 (52.27),0.2033 (60.16),0.2562 (65.33),0.2257 (56.95),0.1706 (55.61),0.2066 (66.33),0.2575 (69.31),0.3087 (66.53),0.3597 (71.54),0.2601 (46.71),0.2036 (14.24)
