function_name,W,T,n_successes,diversity,mean_gen_success,composite_score
nguyen1,0.0,10.0,15,22.03,10.6,19.4
nguyen1,0.5,10.0,15,30.46,13.73,16.27
nguyen1,0.0,None,14,21.0,21.8,6.2
nguyen1,0.0,14.0,15,21.89,24.67,5.33
nguyen1,0.1,10.0,14,24.03,23.13,4.87
nguyen1,0.5,5.0,14,46.63,24.6,3.4
nguyen1,0.8,None,14,48.19,24.67,3.33
nguyen1,0.3,10.0,14,31.58,26.4,1.6
nguyen1,0.0,5.0,13,21.43,29.13,-3.13
nguyen1,0.3,None,14,43.13,31.93,-3.93
nguyen1,0.5,None,13,43.63,30.27,-4.27
nguyen1,0.8,5.0,14,43.77,32.67,-4.67
nguyen1,0.2,10.0,13,34.24,34.2,-8.2
nguyen1,0.2,None,13,33.95,38.0,-12.0
nguyen1,0.8,10.0,13,55.4,39.2,-13.2
nguyen1,0.8,14.0,13,49.91,40.27,-14.27
nguyen1,0.3,5.0,11,40.13,51.2,-29.2
nguyen1,0.2,5.0,15,21.33,59.73,-29.73
nguyen1,0.1,5.0,11,33.68,53.33,-31.33
nguyen1,0.5,14.0,12,52.33,61.53,-37.53
nguyen1,0.1,None,10,39.51,65.67,-45.67
nguyen1,0.1,14.0,11,26.63,78.6,-56.6
nguyen1,0.2,14.0,8,9.47,101.87,-85.87
nguyen1,0.3,14.0,6,21.66,115.87,-103.87
nguyen2,0.3,5.0,13,45.16,43.07,-17.07
nguyen2,0.0,5.0,11,22.86,49.6,-27.6
nguyen2,0.5,None,12,52.54,51.67,-27.67
nguyen2,0.8,None,12,52.66,52.6,-28.6
nguyen2,0.0,10.0,11,21.3,54.93,-32.93
nguyen2,0.0,14.0,11,21.94,56.93,-34.93
nguyen2,0.2,5.0,15,31.54,74.47,-44.47
nguyen2,0.8,5.0,10,65.35,68.33,-48.33
nguyen2,0.8,14.0,10,67.31,69.93,-49.93
nguyen2,0.8,10.0,9,68.42,73.73,-55.73
nguyen2,0.1,None,9,39.75,75.33,-57.33
nguyen2,0.2,10.0,10,51.11,78.6,-58.6
nguyen2,0.1,10.0,9,31.84,76.93,-58.93
nguyen2,0.5,10.0,9,60.64,77.8,-59.8
nguyen2,0.3,10.0,9,59.76,78.6,-60.6
nguyen2,0.3,None,9,59.76,82.93,-64.93
nguyen2,0.5,5.0,12,51.45,94.4,-70.4
nguyen2,0.0,None,7,20.99,87.07,-73.07
nguyen2,0.1,5.0,8,42.37,90.33,-74.33
nguyen2,0.1,14.0,8,42.25,97.33,-81.33
nguyen2,0.2,None,7,58.62,96.0,-82.0
nguyen2,0.5,14.0,7,67.71,99.93,-85.93
nguyen2,0.3,14.0,2,12.34,135.53,-131.53
nguyen2,0.2,14.0,2,6.31,142.6,-138.6
nguyen3,0.8,10.0,13,41.42,92.8,-66.8
nguyen3,0.2,10.0,12,46.97,91.4,-67.4
nguyen3,0.1,None,10,36.19,103.07,-83.07
nguyen3,0.8,5.0,5,71.23,112.2,-102.2
nguyen3,0.3,None,5,67.27,113.53,-103.53
nguyen3,0.8,None,5,73.05,117.27,-107.27
nguyen3,0.0,5.0,4,17.92,117.27,-109.27
nguyen3,0.0,10.0,4,23.19,118.4,-110.4
nguyen3,0.5,None,4,66.85,118.93,-110.93
nguyen3,0.5,10.0,4,77.32,119.93,-111.93
nguyen3,0.2,None,6,37.72,125.87,-113.87
nguyen3,0.1,10.0,4,41.07,122.0,-114.0
nguyen3,0.5,5.0,4,79.34,122.27,-114.27
nguyen3,0.3,5.0,4,74.57,124.0,-116.0
nguyen3,0.0,14.0,3,16.78,127.73,-121.73
nguyen3,0.8,14.0,3,81.65,129.6,-123.6
nguyen3,0.2,5.0,3,67.91,129.6,-123.6
nguyen3,0.1,5.0,3,49.63,129.93,-123.93
nguyen3,0.5,14.0,3,77.14,134.8,-128.8
nguyen3,0.3,10.0,2,71.14,134.53,-130.53
nguyen3,0.0,None,1,12.36,141.27,-139.27
nguyen3,0.3,14.0,1,30.72,145.8,-143.8
nguyen3,0.2,14.0,0,6.19,150.0,-150.0
nguyen3,0.1,14.0,0,50.48,150.0,-150.0
nguyen4,0.2,5.0,10,51.4,105.33,-85.33
nguyen4,0.2,10.0,10,51.42,110.73,-90.73
nguyen4,0.1,10.0,8,33.95,111.47,-95.47
nguyen4,0.8,14.0,11,58.57,118.0,-96.0
nguyen4,0.0,10.0,5,18.61,107.67,-97.67
nguyen4,0.3,10.0,6,60.1,110.0,-98.0
nguyen4,0.5,5.0,5,69.84,114.33,-104.33
nguyen4,0.3,5.0,5,62.29,118.33,-108.33
nguyen4,0.0,14.0,4,20.55,118.73,-110.73
nguyen4,0.8,10.0,7,63.84,124.87,-110.87
nguyen4,0.3,None,7,56.89,125.2,-111.2
nguyen4,0.2,None,5,56.77,123.47,-113.47
nguyen4,0.0,None,3,12.78,124.4,-118.4
nguyen4,0.0,5.0,3,19.63,125.53,-119.53
nguyen4,0.8,5.0,6,66.29,133.33,-121.33
nguyen4,0.5,10.0,2,73.25,136.33,-132.33
nguyen4,0.8,None,2,93.97,141.0,-137.0
nguyen4,0.1,14.0,1,51.51,141.67,-139.67
nguyen4,0.1,5.0,1,49.38,141.93,-139.93
nguyen4,0.1,None,1,46.79,143.0,-141.0
nguyen4,0.5,14.0,1,74.91,144.4,-142.4
nguyen4,0.3,14.0,1,34.11,147.73,-145.73
nguyen4,0.2,14.0,0,7.22,150.0,-150.0
nguyen4,0.5,None,0,47.4,150.0,-150.0
nguyen5,0.0,5.0,2,14.28,133.27,-129.27
nguyen5,0.1,5.0,2,52.26,138.87,-134.87
nguyen5,0.8,14.0,2,106.27,141.13,-137.13
nguyen5,0.8,None,1,98.03,140.47,-138.47
nguyen5,0.1,None,1,49.76,144.67,-142.67
nguyen5,0.5,None,1,89.83,145.33,-143.33
nguyen5,0.5,10.0,1,82.45,146.13,-144.13
nguyen5,0.0,14.0,1,15.48,147.4,-145.4
nguyen5,0.0,None,0,12.85,150.0,-150.0
nguyen5,0.3,None,0,82.96,150.0,-150.0
nguyen5,0.8,10.0,0,79.51,150.0,-150.0
nguyen5,0.8,5.0,0,101.6,150.0,-150.0
nguyen5,0.5,14.0,0,92.9,150.0,-150.0
nguyen5,0.5,5.0,0,84.93,150.0,-150.0
nguyen5,0.3,14.0,0,15.64,150.0,-150.0
nguyen5,0.1,10.0,0,29.69,150.0,-150.0
nguyen5,0.3,10.0,0,83.71,150.0,-150.0
nguyen5,0.0,10.0,0,16.04,150.0,-150.0
nguyen5,0.2,None,0,65.88,150.0,-150.0
nguyen5,0.2,14.0,0,5.79,150.0,-150.0
nguyen5,0.2,10.0,0,72.68,150.0,-150.0
nguyen5,0.2,5.0,0,69.34,150.0,-150.0
nguyen5,0.1,14.0,0,6.08,150.0,-150.0
nguyen5,0.3,5.0,0,68.21,150.0,-150.0
nguyen6,0.0,10.0,3,19.57,127.47,-121.47
nguyen6,0.0,5.0,2,12.99,132.67,-128.67
nguyen6,0.1,10.0,2,44.9,135.33,-131.33
nguyen6,0.1,5.0,2,42.95,139.6,-135.6
nguyen6,0.3,None,1,70.59,141.2,-139.2
nguyen6,0.3,5.0,1,69.57,141.73,-139.73
nguyen6,0.5,None,1,101.75,142.73,-140.73
nguyen6,0.3,10.0,1,87.92,144.2,-142.2
nguyen6,0.1,14.0,0,12.79,150.0,-150.0
nguyen6,0.5,5.0,0,103.51,150.0,-150.0
nguyen6,0.8,14.0,0,94.87,150.0,-150.0
nguyen6,0.8,10.0,0,86.49,150.0,-150.0
nguyen6,0.8,5.0,0,91.64,150.0,-150.0
nguyen6,0.5,14.0,0,30.6,150.0,-150.0
nguyen6,0.5,10.0,0,84.35,150.0,-150.0
nguyen6,0.0,14.0,0,10.91,150.0,-150.0
nguyen6,0.1,None,0,42.42,150.0,-150.0
nguyen6,0.3,14.0,0,25.26,150.0,-150.0
nguyen6,0.0,None,0,9.69,150.0,-150.0
nguyen6,0.2,None,0,71.15,150.0,-150.0
nguyen6,0.2,14.0,0,22.1,150.0,-150.0
nguyen6,0.2,10.0,0,77.64,150.0,-150.0
nguyen6,0.2,5.0,0,70.44,150.0,-150.0
nguyen6,0.8,None,0,92.05,150.0,-150.0
nguyen7,0.0,None,4,16.15,114.13,-106.13
nguyen7,0.3,None,4,59.64,115.6,-107.6
nguyen7,0.0,5.0,3,17.98,122.53,-116.53
nguyen7,0.2,5.0,3,54.53,124.07,-118.07
nguyen7,0.3,5.0,2,65.97,132.13,-128.13
nguyen7,0.1,5.0,2,49.31,132.47,-128.47
nguyen7,0.1,None,2,45.27,132.53,-128.53
nguyen7,0.5,5.0,1,79.44,142.4,-140.4
nguyen7,0.1,10.0,1,47.03,144.6,-142.6
nguyen7,0.8,14.0,0,80.12,150.0,-150.0
nguyen7,0.8,10.0,0,80.56,150.0,-150.0
nguyen7,0.8,5.0,0,83.91,150.0,-150.0
nguyen7,0.5,None,0,86.02,150.0,-150.0
nguyen7,0.5,14.0,0,77.46,150.0,-150.0
nguyen7,0.5,10.0,0,72.19,150.0,-150.0
nguyen7,0.3,14.0,0,31.79,150.0,-150.0
nguyen7,0.0,14.0,0,9.42,150.0,-150.0
nguyen7,0.1,14.0,0,54.33,150.0,-150.0
nguyen7,0.3,10.0,0,87.54,150.0,-150.0
nguyen7,0.0,10.0,0,17.15,150.0,-150.0
nguyen7,0.2,None,0,54.74,150.0,-150.0
nguyen7,0.2,14.0,0,17.06,150.0,-150.0
nguyen7,0.2,10.0,0,70.25,150.0,-150.0
nguyen7,0.8,None,0,93.53,150.0,-150.0
nguyen8,0.0,5.0,0,10.09,150.0,-150.0
nguyen8,0.0,10.0,0,14.51,150.0,-150.0
nguyen8,0.8,14.0,0,97.16,150.0,-150.0
nguyen8,0.8,10.0,0,94.73,150.0,-150.0
nguyen8,0.8,5.0,0,59.04,150.0,-150.0
nguyen8,0.5,None,0,63.95,150.0,-150.0
nguyen8,0.5,14.0,0,70.31,150.0,-150.0
nguyen8,0.5,10.0,0,82.48,150.0,-150.0
nguyen8,0.5,5.0,0,71.77,150.0,-150.0
nguyen8,0.3,None,0,60.45,150.0,-150.0
nguyen8,0.3,14.0,0,9.13,150.0,-150.0
nguyen8,0.3,10.0,0,69.99,150.0,-150.0
nguyen8,0.3,5.0,0,64.41,150.0,-150.0
nguyen8,0.2,None,0,55.43,150.0,-150.0
nguyen8,0.2,14.0,0,5.59,150.0,-150.0
nguyen8,0.2,10.0,0,67.75,150.0,-150.0
nguyen8,0.2,5.0,0,59.28,150.0,-150.0
nguyen8,0.1,None,0,39.57,150.0,-150.0
nguyen8,0.1,14.0,0,6.21,150.0,-150.0
nguyen8,0.1,10.0,0,55.66,150.0,-150.0
nguyen8,0.1,5.0,0,44.05,150.0,-150.0
nguyen8,0.0,None,0,10.3,150.0,-150.0
nguyen8,0.0,14.0,0,17.02,150.0,-150.0
nguyen8,0.8,None,0,70.89,150.0,-150.0
